codigo;estacion
M-SP;SAN PABLO L1
M-SP;SAN PABLO L5
M-SP;SAN PABLO
M-NP;NEPTUNO
M-PJ;PAJARITOS
M-LR;LAS REJAS
M-EC;ECUADOR
M-AH;SAN ALBERTO HURTADO
M-US;UNIVERSIDAD DE SANTIAGO
M-EL;ESTACION CENTRAL
M-LA;UNION LATINO AMERICANA
M-RP;REPUBLICA
M-LH;LOS HEROES L1
M-LH;LOS HEROES L2
M-LH;LOS HEROES
M-LM;LA MONEDA
M-CH;UNIVERSIDAD DE CHILE
M-SL;SANTA LUCIA
M-UC;UNIVERSIDAD CATOLICA
M-BA;BAQUEDANO L1
M-BA;BAQUEDANO L5
M-BA;BAQUEDANO
M-SA;SALVADOR
M-MM;MANUEL MONTT
M-PV;PEDRO DE VALDIVIA
M-LE;LOS LEONES L1
M-LE;LOS LEONES L6
M-LE;LOS LEONES
M-TB;TOBALABA L1
M-TB;TOBALABA L4
M-TB;TOBALABA
M-GO;EL GOLF
M-AL;ALCANTARA
M-EM;ESCUELA MILITAR
M-MQ;MANQUEHUE
M-HM;HERNANDO DE MAGALLANES
M-LD;LOS DOMINICOS
M-AV;VESPUCIO NORTE
M-ZA;ZAPADORES
M-EI;EINSTEIN
M-CB;CERRO BLANCO
M-CA;CAL Y CANTO
M-AN;SANTA ANA L2
M-AN;SANTA ANA L5
M-AN;SANTA ANA
M-TO;TOESCA
M-RO;RONDIZONNI
M-FR;FRANKLIN L2
M-FR;FRANKLIN L6
M-FR;FRANKLIN
M-SM;SAN MIGUEL
M-DE;DEPARTAMENTAL
M-LO;LO OVALLE
M-EP;EL PARRON
M-LC;LA CISTERNA L2
M-LC;LA CISTERNA L4A
M-LC;LA CISTERNA
M-DO;DORSAL
M-CE;CEMENTERIOS
M-PT;PATRONATO
M-PQ;PARQUE OHIGGINS
M-LN;EL LLANO
M-LV;LO VIAL
M-CN;CIUDAD DEL NINO
M-CO;CRISTOBAL COLON
M-BI;FRANCISCO BILBAO
M-SB;SIMON BOLIVAR
M-EG;PLAZA EGANA
M-RG;GRECIA
M-RQ;QUILIN
M-MC;MACUL
M-VM;VICUNA MACKENNA L4A
M-VM;VICUNA MACKENNA L4
M-VM;VICUNA MACKENNA
M-VA;VICENTE VALDES L4
M-VA;VICENTE VALDES L5
M-VA;VICENTE VALDES
M-RM;ROJAS MAGALLANES
M-JE;SAN JOSE DE LA ESTRELLA
M-EA;ELISA CORREA
M-HS;HOSPITAL SOTERO DEL RIO
M-PI;PROTECTORA DE LA INFANCIA
M-PP;PLAZA DE PUENTE ALTO
M-GA;PRINCIPE DE GALES
M-OR;LOS ORIENTALES
M-LP;LOS PRESIDENTES
M-LT;LAS TORRES
M-TR;TRINIDAD
M-LQ;LOS QUILLAYES
M-ME;LAS MERCEDES
M-JU;SANTA JULIA
M-LG;LA GRANJA
M-SR;SANTA ROSA
M-RN;SAN RAMON
M-PM;PLAZA MAIPU
M-DS;DEL SOL
M-PA;LAS PARCELAS
M-LS;LAGUNA SUR
M-PU;PUDAHUEL
M-PR;LO PRADO
M-GL;GRUTA DE LOURDES
M-QN;QUINTA NORMAL
M-PZ;PLAZA DE ARMAS
M-BE;BELLAS ARTES
M-SI;SANTA ISABEL
M-IR;IRARRAZAVAL
M-RA;RODRIGO DE ARAYA
M-AG;CAMINO AGRICOLA
M-PE;PEDRERO
M-LF;BELLAVISTA DE LA FLORIDA
M-BU;SANTIAGO BUERAS
M-MT;MONTE TABOR
M-BR;BARRANCAS
M-BL;BLANQUEADO
M-RC;CUMMING
M-PB;PARQUE BUSTAMANTE
M-NB;NUBLE L5
M-NB;NUBLE L6
M-NB;NUBLE
M-CV;CARLOS VALDOVINOS
M-SJ;SAN JOAQUIN
M-MA;MIRADOR
M-CS;CERRILLOS
M-LL;LO VALLEDOR
M-PG;PDTE PEDRO AGUIRRE CERDA
M-BB;BIO BIO
M-EN;ESTADIO NACIONAL
M-UN;NUNOA
M-IS;INES DE SUAREZ
MT-AL;Estacion Alameda
MT-LV;Estacion Lo Valledor
MT-PAC;Estacion Pedro Aguirre Cerda
MT-LE;Estacion Lo Espejo
MT-LB;Estacion Lo Blanco
MT-FR;Estacion Freire
MT-SB;Estacion San Bernardo
MT-MA;Estacion Maestranza
MT-CP;Estacion Cinco Pinos
MT-NO;Estacion Nos
M-UN;NUNOA L6
